"Month","Monthly bituminous coal production in U.S.A. 1952-1959"
"1952-01",47730
"1952-02",46704
"1952-03",41535
"1952-04",41319
"1952-05",36962
"1952-06",32558
"1952-07",31995
"1952-08",32993
"1952-09",44834
"1952-10",29883
"1952-11",39611
"1952-12",40099
"1953-01",38051
"1953-02",36927
"1953-03",37272
"1953-04",39457
"1953-05",38097
"1953-06",40226
"1953-07",43589
"1953-08",39088
"1953-09",39409
"1953-10",37226
"1953-11",34421
"1953-12",34975
"1954-01",32710
"1954-02",31885
"1954-03",32106
"1954-04",30029
"1954-05",29501
"1954-06",31620
"1954-07",34205
"1954-08",32153
"1954-09",32764
"1954-10",33230
"1954-11",35636
"1954-12",35550
"1955-01",34529
"1955-02",37498
"1955-03",37229
"1955-04",36021
"1955-05",38281
"1955-06",36676
"1955-07",44541
"1955-08",40850
"1955-09",38404
"1955-10",37575
"1955-11",41476
"1955-12",42267
"1956-01",43062
"1956-02",45036
"1956-03",43769
"1956-04",42298
"1956-05",44412
"1956-06",40498
"1956-07",37830
"1956-08",42294
"1956-09",38330
"1956-10",43554
"1956-11",42579
"1956-12",36911
"1957-01",42541
"1957-02",42430
"1957-03",43465
"1957-04",44468
"1957-05",43597
"1957-06",40774
"1957-07",42573
"1957-08",41635
"1957-09",39030
"1957-10",41572
"1957-11",37027
"1957-12",34732
"1958-01",36817
"1958-02",34295
"1958-03",33218
"1958-04",32034
"1958-05",31417
"1958-06",35719
"1958-07",30001
"1958-08",33096
"1958-09",35196
"1958-10",36550
"1958-11",33463
"1958-12",37195
"1959-01",34748
"1959-02",36461
"1959-03",35754
"1959-04",36943
"1959-05",35854
"1959-06",37912
"1959-07",30095
"1959-08",28931
"1959-09",31020
"1959-10",31746
"1959-11",34613
"1959-12",37901

Monthly bituminous coal production in U.S.A. 1952-1959

